id,triage,proposed_label,evidence_span,reason,suggested_slice
1,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
2,HUMAN,,,§4 m_and_a: deal registration; a material deal or a routine notes exchange,ambiguous
3,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
4,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
5,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
6,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
7,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
8,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
9,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
10,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
11,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
12,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
13,OBVIOUS,immaterial,424B3,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
14,OBVIOUS,immaterial,424B2,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
15,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
16,HUMAN,,,§5 insider form: proposed sale; magnitude not framed by the form,hard_negative
17,HUMAN,,,§5: material only if it carries new disclosures; may restate a prior 8-K release,ambiguous
18,HUMAN,,,§5 insider form: proposed sale; magnitude not framed by the form,hard_negative
19,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
20,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
21,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
22,OBVIOUS,material,"8-K [2.02,7.01]","§5: release of quarterly results is itself material, regardless of beat/miss direction",clear_material
23,HUMAN,,,§5: material only if it carries new disclosures; may restate a prior 8-K release,ambiguous
24,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
25,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
26,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
27,OBVIOUS,immaterial,FWP,§5: pricing supplement for a continuous retail note programme; immaterial by form type,hard_negative
